acc,prec,rec,fsc,s,t
0.422778,0.534884,0.011052,0.021657,0.05,0.08
0.423056,0.545455,0.011533,0.022588,0.1,0.08
0.422778,0.534884,0.011052,0.021657,0.15,0.08
0.422778,0.534884,0.011052,0.021657,0.2,0.08
0.422778,0.534884,0.011052,0.021657,0.25,0.08
0.422778,0.534884,0.011052,0.021657,0.3,0.08
0.4225,0.52381,0.010572,0.020725,0.35,0.08
0.4225,0.52381,0.010572,0.020725,0.4,0.08
0.4225,0.52381,0.010572,0.020725,0.45,0.08
0.4225,0.52381,0.010572,0.020725,0.5,0.08
0.422778,0.536585,0.010572,0.020735,0.55,0.08
0.422778,0.536585,0.010572,0.020735,0.6,0.08
0.423056,0.547619,0.011052,0.021667,0.65,0.08
0.423056,0.547619,0.011052,0.021667,0.7,0.08
0.423056,0.55,0.010572,0.020745,0.75,0.08
0.423056,0.55,0.010572,0.020745,0.8,0.08
0.423333,0.560976,0.011052,0.021678,0.85,0.08
0.423333,0.560976,0.011052,0.021678,0.9,0.08
0.423611,0.575,0.011052,0.021688,0.95,0.08
0.424167,0.595238,0.012013,0.023552,1,0.08
0.424444,0.604651,0.012494,0.024482,1.05,0.08
0.424167,0.595238,0.012013,0.023552,1.1,0.08
0.423889,0.585366,0.011533,0.02262,1.15,0.08
0.423611,0.575,0.011052,0.021688,1.2,0.08
0.423889,0.585366,0.011533,0.02262,1.25,0.08
0.423889,0.585366,0.011533,0.02262,1.3,0.08
0.423611,0.575,0.011052,0.021688,1.35,0.08
0.423611,0.575,0.011052,0.021688,1.4,0.08
0.423889,0.585366,0.011533,0.02262,1.45,0.08
0.422778,0.542857,0.00913,0.017958,0,0.1
0.4225,0.529412,0.00865,0.017021,0.05,0.1
0.422222,0.514286,0.00865,0.017013,0.1,0.1
0.4225,0.529412,0.00865,0.017021,0.15,0.1
0.422222,0.515152,0.008169,0.016083,0.2,0.1
0.421944,0.5,0.007689,0.015144,0.25,0.1
0.422222,0.515152,0.008169,0.016083,0.3,0.1
0.422222,0.515152,0.008169,0.016083,0.35,0.1
0.4225,0.529412,0.00865,0.017021,0.4,0.1
0.4225,0.529412,0.00865,0.017021,0.45,0.1
0.423056,0.558824,0.00913,0.017967,0.5,0.1
0.423056,0.558824,0.00913,0.017967,0.55,0.1
0.423056,0.5625,0.00865,0.017037,0.6,0.1
0.423056,0.5625,0.00865,0.017037,0.65,0.1
0.422778,0.548387,0.008169,0.016098,0.7,0.1
0.422778,0.548387,0.008169,0.016098,0.75,0.1
0.4225,0.53125,0.008169,0.016091,0.8,0.1
0.422222,0.515152,0.008169,0.016083,0.85,0.1
0.422222,0.515152,0.008169,0.016083,0.9,0.1
0.422222,0.515152,0.008169,0.016083,0.95,0.1
0.421944,0.5,0.007689,0.015144,1,0.1
0.421944,0.5,0.007689,0.015144,1.05,0.1
0.421944,0.5,0.007689,0.015144,1.1,0.1
0.422222,0.515152,0.008169,0.016083,1.15,0.1
0.4225,0.529412,0.00865,0.017021,1.2,0.1
0.4225,0.527778,0.00913,0.01795,1.25,0.1
0.4225,0.527778,0.00913,0.01795,1.3,0.1
0.4225,0.527778,0.00913,0.01795,1.35,0.1
0.4225,0.527778,0.00913,0.01795,1.4,0.1
0.4225,0.527778,0.00913,0.01795,1.45,0.1
0.422222,0.517241,0.007208,0.014218,0,0.12
0.422222,0.517241,0.007208,0.014218,0.05,0.12
0.421944,0.5,0.007208,0.014211,0.1,0.12
0.421944,0.5,0.007208,0.014211,0.15,0.12
0.421667,0.482759,0.006728,0.01327,0.2,0.12
0.421667,0.482759,0.006728,0.01327,0.25,0.12
0.421667,0.482759,0.006728,0.01327,0.3,0.12
0.421944,0.5,0.006728,0.013276,0.35,0.12
0.422222,0.518519,0.006728,0.013283,0.4,0.12
0.421944,0.5,0.006247,0.01234,0.45,0.12
0.421667,0.481481,0.006247,0.012334,0.5,0.12
0.421944,0.5,0.006728,0.013276,0.55,0.12
0.421944,0.5,0.006728,0.013276,0.6,0.12
0.421944,0.5,0.006728,0.013276,0.65,0.12
0.422222,0.517241,0.007208,0.014218,0.7,0.12
0.422222,0.517241,0.007208,0.014218,0.75,0.12
0.422222,0.517241,0.007208,0.014218,0.8,0.12
0.422222,0.517241,0.007208,0.014218,0.85,0.12
0.422222,0.517241,0.007208,0.014218,0.9,0.12
0.4225,0.535714,0.007208,0.014225,0.95,0.12
0.4225,0.535714,0.007208,0.014225,1,0.12
0.422778,0.551724,0.007689,0.015166,1.05,0.12
0.422778,0.551724,0.007689,0.015166,1.1,0.12
0.422778,0.551724,0.007689,0.015166,1.15,0.12
0.422778,0.551724,0.007689,0.015166,1.2,0.12
0.423056,0.566667,0.008169,0.016106,1.25,0.12
0.423056,0.566667,0.008169,0.016106,1.3,0.12
0.423333,0.580645,0.00865,0.017045,1.35,0.12
0.423056,0.5625,0.00865,0.017037,1.4,0.12
0.423056,0.5625,0.00865,0.017037,1.45,0.12
0.421667,0.48,0.005766,0.011396,0,0.14
0.421667,0.48,0.005766,0.011396,0.05,0.14
0.421667,0.48,0.005766,0.011396,0.1,0.14
0.421667,0.48,0.005766,0.011396,0.15,0.14
0.422222,0.52,0.006247,0.012346,0.2,0.14
0.422778,0.56,0.006728,0.013295,0.25,0.14
0.4225,0.541667,0.006247,0.012352,0.3,0.14
0.422222,0.521739,0.005766,0.011407,0.35,0.14
0.422222,0.521739,0.005766,0.011407,0.4,0.14
0.421667,0.478261,0.005286,0.010456,0.45,0.14
0.421667,0.478261,0.005286,0.010456,0.5,0.14
0.421667,0.478261,0.005286,0.010456,0.55,0.14
0.421667,0.478261,0.005286,0.010456,0.6,0.14
0.421667,0.478261,0.005286,0.010456,0.65,0.14
0.421944,0.5,0.005766,0.011401,0.7,0.14
0.421667,0.48,0.005766,0.011396,0.75,0.14
0.421944,0.5,0.006247,0.01234,0.8,0.14
0.421944,0.5,0.006247,0.01234,0.85,0.14
0.421944,0.5,0.006247,0.01234,0.9,0.14
0.421944,0.5,0.006247,0.01234,0.95,0.14
0.421944,0.5,0.006247,0.01234,1,0.14
0.421944,0.5,0.006247,0.01234,1.05,0.14
0.421944,0.5,0.006247,0.01234,1.1,0.14
0.421944,0.5,0.006247,0.01234,1.15,0.14
